#{"t_start": 1748866346.891348, "env_id": "None"}
r,l,t
-344.0,12,716.282607
-438.0,12,717.078433
-374.0,12,717.833293
-356.0,12,718.63572
-307.0,12,719.453315
-371.0,12,720.323428
-370.0,12,721.093815
-348.0,12,722.123961
-412.0,12,722.686848
-348.0,12,723.421798
-332.0,12,724.257746
-160.0,12,724.871454
-295.0,12,725.688341
-397.0,12,727.193054
-184.0,12,727.709765
-224.0,12,728.596501
-395.0,12,729.472637
-311.0,12,730.206973
-355.0,12,730.994104
-367.0,12,731.952788
-366.0,12,732.724204
-343.0,12,733.624805
-450.0,12,734.305753
-393.0,12,735.467521
-80.0,12,736.133426
-333.0,12,737.112502
-382.0,12,737.939401
-359.0,12,738.327322
-377.0,12,739.375846
-279.0,12,740.025111
-306.0,12,740.887156
-414.0,12,741.556321
-372.0,12,742.44269
-414.0,12,742.976439
-375.0,12,743.751131
-375.0,12,744.024328
-291.0,12,744.845523
-346.0,12,745.513887
-229.0,12,746.145355
-330.0,12,746.573152
-426.0,12,747.350134
-305.0,12,748.208882
-445.0,12,749.263401
-424.0,12,749.93702
-352.0,12,750.602664
-240.0,12,751.438225
-356.0,12,751.964165
-333.0,12,752.136859
-342.0,12,752.735142
-386.0,12,753.586566
-378.0,12,753.917282
-390.0,12,754.686994
-421.0,12,755.324031
-387.0,12,756.015088
-388.0,12,756.550184
-424.0,12,757.063837
-338.0,12,757.997078
-390.0,12,758.66104
-166.0,12,759.427517
-385.0,12,760.160991
-354.0,12,760.875825
-379.0,12,761.846154
-328.0,12,762.122428
-269.0,12,762.702586
-432.0,12,763.03859
-278.0,12,764.03248
-356.0,12,764.486803
-430.0,12,765.169784
-396.0,12,765.991538
-451.0,12,766.6921
-398.0,12,766.904851
-239.0,12,767.932474
-303.0,12,768.830745
-353.0,12,769.668318
-281.0,12,771.017744
-416.0,12,771.935097
-386.0,12,772.684059
-299.0,12,773.883333
-343.0,12,774.443483
-382.0,12,774.978261
-406.0,12,776.109809
-437.0,12,777.053992
-289.0,12,777.8886
-287.0,12,778.521109
-285.0,12,779.282166
-318.0,12,780.179857
-328.0,12,781.269628
-271.0,12,782.04625
-162.0,12,782.834468
-433.0,12,785.203494
-454.0,12,786.190465
-299.0,12,786.988888
-327.0,12,787.666059
-378.0,12,788.753279
-453.0,12,789.473517
-221.0,12,789.601659
-291.0,12,789.930317
-443.0,12,791.01051
-405.0,12,791.359371
-280.0,12,791.608158
-445.0,12,792.895133
-411.0,12,793.554688
-392.0,12,793.565681
-412.0,12,794.608014
-334.0,12,795.32361
-347.0,12,796.654076
-423.0,12,797.564901
-459.0,12,799.251837
-354.0,12,800.313773
-294.0,12,800.903584
-296.0,12,801.721589
-414.0,12,803.45408
-334.0,12,804.314165
-353.0,12,805.169514
-383.0,12,805.871468
-224.0,12,806.826857
-205.0,12,807.479736
-349.0,12,808.21161
-453.0,12,809.063808
-276.0,12,809.710673
-240.0,12,809.857132
-362.0,12,810.100788
-312.0,12,811.061817
-177.0,12,811.714284
-382.0,12,812.658465
-218.0,12,813.618274
-324.0,12,814.692521
-410.0,12,815.438741
-425.0,12,816.543192
-393.0,12,817.482548
-303.0,12,818.219059
-336.0,12,819.377424
-384.0,12,821.00239
-245.0,12,821.982914
-312.0,12,822.346928
-214.0,12,822.40391
-338.0,12,823.244541
-444.0,12,823.928602
-358.0,12,824.924017
-298.0,12,825.569837
-287.0,12,825.73069
-338.0,12,826.536332
-430.0,12,827.195064
-452.0,12,827.688418
-396.0,12,828.570923
-305.0,12,830.05993
-381.0,12,830.269958
-423.0,12,830.945911
-351.0,12,831.456499
-342.0,12,831.620666
-412.0,12,832.327149
-254.0,12,833.292179
-409.0,12,834.252183
-152.0,12,835.266949
-343.0,12,835.605696
-378.0,12,836.556431
-392.0,12,837.623897
-283.0,12,838.301399
-422.0,12,839.484124
-407.0,12,840.267439
-362.0,12,841.15156
-328.0,12,842.295337
-405.0,12,842.879359
-384.0,12,843.652088
-391.0,12,844.261229
-381.0,12,844.532104
-333.0,12,845.445281
-381.0,12,846.617716
-341.0,12,847.963267
-409.0,12,848.881638
-377.0,12,849.95241
-388.0,12,850.337474
-344.0,12,851.222505
-458.0,12,851.876073
-300.0,12,853.995024
-343.0,12,855.36641
-156.0,12,855.863622
-438.0,12,856.201253
-407.0,12,856.423747
-371.0,12,857.035336
-414.0,12,857.467946
-317.0,12,858.336591
-345.0,12,859.142082
-294.0,12,860.075651
-396.0,12,860.973291
-347.0,12,862.14085
-264.0,12,862.908942
-357.0,12,863.956542
-352.0,12,864.303303
-235.0,12,865.011253
-434.0,12,865.711398
-226.0,12,866.822439
-439.0,12,868.145906
-362.0,12,868.444947
-268.0,12,869.319116
-367.0,12,870.377827
-344.0,12,871.084346
-425.0,12,871.786314
-294.0,12,872.717557
-319.0,12,873.552029
-395.0,12,874.385188
-287.0,12,875.211401
-342.0,12,875.958951
-431.0,12,876.229209
-334.0,12,877.126453
-429.0,12,878.085408
-259.0,12,879.423322
-331.0,12,880.425624
-341.0,12,881.170212
-305.0,12,881.855586
-385.0,12,882.177492
-420.0,12,883.032412
-421.0,12,883.866069
-274.0,12,885.070398
-343.0,12,885.816789
-224.0,12,886.638366
-376.0,12,887.402791
-319.0,12,888.094235
-401.0,12,888.971983
-321.0,12,889.770558
-385.0,12,890.219617
-411.0,12,890.874253
-454.0,12,891.463437
-401.0,12,892.444964
-409.0,12,893.083792
-353.0,12,894.068594
-382.0,12,894.752323
-340.0,12,895.787146
-276.0,12,896.958251
-373.0,12,897.629565
-414.0,12,898.468376
-345.0,12,899.131182
-426.0,12,899.908448
-336.0,12,900.525357
-339.0,12,901.514765
-371.0,12,901.858579
-339.0,12,902.471905
-379.0,12,903.142065
-292.0,12,903.80036
-454.0,12,904.667792
-349.0,12,904.883574
-420.0,12,905.815781
-351.0,12,906.616046
-370.0,12,907.18988
-322.0,12,908.023324
-401.0,12,909.414151
-452.0,12,910.061326
-314.0,12,910.549184
-367.0,12,911.888476
-304.0,12,912.974594
-411.0,12,913.033526
-416.0,12,913.865754
-415.0,12,914.910447
