#{"t_start": 1748835617.5918171, "env_id": "None"}
r,l,t
-188.0,12,333.434469
-190.0,12,334.151205
-90.0,12,335.076577
-122.0,12,335.999665
-178.0,12,336.447318
-148.0,12,336.660572
-204.0,12,337.321725
-104.0,12,337.897974
-218.0,12,337.910391
-42.0,12,338.196468
-206.0,12,338.452909
-184.0,12,339.332618
-164.0,12,339.964499
-170.0,12,341.183043
-240.0,12,341.587023
-154.0,12,341.804268
-104.0,12,341.818343
122.0,12,341.870671
-134.0,12,341.883904
-8.0,12,341.894497
-114.0,12,342.18064
-204.0,12,342.269967
-72.0,12,342.559665
-194.0,12,343.312915
-104.0,12,344.252161
-64.0,12,344.84146
-224.0,12,345.33095
-170.0,12,345.608811
-204.0,12,345.684687
-142.0,12,346.645396
-60.0,12,347.001563
-176.0,12,347.91319
-108.0,12,347.927588
-204.0,12,348.102342
-62.0,12,348.276444
-152.0,12,349.073081
-92.0,12,349.754425
-54.0,12,349.845328
-210.0,12,349.957096
-170.0,12,350.195123
-112.0,12,350.675388
-92.0,12,351.458272
-54.0,12,351.655299
-76.0,12,352.299305
-130.0,12,352.854786
32.0,12,353.424752
-120.0,12,353.455331
-24.0,12,354.114609
-136.0,12,355.03783
-148.0,12,356.147858
-240.0,12,356.755044
-60.0,12,357.31768
-126.0,12,357.411357
-194.0,12,357.95234
-82.0,12,358.82116
-116.0,12,359.759222
-134.0,12,360.010375
-84.0,12,360.084396
-204.0,12,360.891631
-108.0,12,361.301053
-134.0,12,362.146494
-188.0,12,362.788813
-138.0,12,363.577195
-122.0,12,364.121947
-240.0,12,364.681205
-150.0,12,364.920809
-104.0,12,365.197641
-36.0,12,366.159811
-154.0,12,367.234606
-170.0,12,367.931434
-94.0,12,368.027227
-226.0,12,368.198115
-100.0,12,368.599724
20.0,12,369.287203
-190.0,12,370.852908
-42.0,12,370.968075
-202.0,12,371.973714
-38.0,12,372.255643
-158.0,12,372.649639
-186.0,12,373.493453
-228.0,12,374.276221
12.0,12,374.289807
76.0,12,374.640503
-174.0,12,374.793625
-240.0,12,375.080114
-160.0,12,375.136923
-122.0,12,375.815284
18.0,12,376.495552
-114.0,12,377.262116
-240.0,12,378.045047
-78.0,12,379.134793
-112.0,12,379.739042
-94.0,12,379.927125
-156.0,12,380.779798
-210.0,12,381.581418
-76.0,12,382.2776
-146.0,12,382.879846
20.0,12,383.023386
-214.0,12,383.518275
-210.0,12,384.304723
-176.0,12,385.043718
-128.0,12,385.775547
-240.0,12,385.921983
-156.0,12,385.999087
-200.0,12,386.232539
-154.0,12,386.959995
-26.0,12,387.666384
-64.0,12,388.221473
-240.0,12,388.342192
-204.0,12,388.503814
28.0,12,388.594895
-178.0,12,388.709186
-148.0,12,388.800633
-240.0,12,389.561994
-210.0,12,389.701497
-224.0,12,390.388395
-172.0,12,390.729434
-240.0,12,391.058161
-94.0,12,391.831046
-130.0,12,392.595411
-88.0,12,392.610777
-118.0,12,393.386971
4.0,12,393.98221
-118.0,12,394.173151
-56.0,12,395.121626
6.0,12,395.818144
-136.0,12,395.9684
-108.0,12,396.186751
-180.0,12,397.015612
-82.0,12,398.233953
-20.0,12,398.775283
-96.0,12,399.746195
-110.0,12,400.138201
-168.0,12,401.449674
-156.0,12,401.463899
-166.0,12,401.636341
-154.0,12,401.934279
-188.0,12,402.753329
-186.0,12,403.653819
-222.0,12,403.767653
-198.0,12,404.416049
-204.0,12,405.016718
-176.0,12,405.259228
-28.0,12,405.528196
-72.0,12,406.519552
50.0,12,407.14791
-204.0,12,407.223254
