#{"t_start": 1748856809.0898216, "env_id": "None"}
r,l,t
-218.0,12,585.727612
-164.0,12,586.2146
-200.0,12,587.67861
-120.0,12,588.324711
-162.0,12,588.926317
-240.0,12,589.467033
-138.0,12,590.413496
-92.0,12,590.608297
-98.0,12,590.814454
-176.0,12,590.877122
-190.0,12,591.579196
-52.0,12,592.481567
-32.0,12,593.4204
-142.0,12,594.702636
-222.0,12,595.784152
-210.0,12,596.357479
8.0,12,597.387756
26.0,12,598.178753
-68.0,12,598.954661
-154.0,12,599.82124
-206.0,12,600.522384
-216.0,12,600.582296
-226.0,12,600.936475
-96.0,12,601.795405
-218.0,12,602.356288
-152.0,12,603.241216
-170.0,12,604.188242
-134.0,12,604.871172
-10.0,12,605.805058
-92.0,12,606.037515
-130.0,12,607.091855
-194.0,12,607.337665
-218.0,12,608.251493
-2.0,12,609.119168
-168.0,12,609.877526
-150.0,12,610.916588
-184.0,12,611.782113
-240.0,12,612.589402
-166.0,12,613.753794
-210.0,12,614.66372
-240.0,12,615.659096
-240.0,12,616.259425
38.0,12,617.241914
-176.0,12,618.071679
-14.0,12,618.371869
-202.0,12,618.800431
-118.0,12,619.584864
-184.0,12,620.245676
-112.0,12,620.47702
-210.0,12,621.147535
-124.0,12,622.52446
-134.0,12,623.034292
-122.0,12,623.186879
-138.0,12,623.488312
-212.0,12,624.073857
-192.0,12,624.350714
-226.0,12,625.205461
-154.0,12,625.973186
-164.0,12,626.709432
-54.0,12,627.003255
22.0,12,627.378707
-174.0,12,627.91439
-240.0,12,628.521398
-182.0,12,629.046746
-200.0,12,629.512277
-162.0,12,630.289401
-240.0,12,630.827412
-34.0,12,631.645169
-120.0,12,632.31783
-170.0,12,632.961278
-36.0,12,633.253324
-80.0,12,633.546049
-162.0,12,633.71527
-112.0,12,634.534838
-20.0,12,635.287972
-156.0,12,635.804055
-102.0,12,635.967316
-98.0,12,636.64077
-140.0,12,637.66661
-96.0,12,638.421194
-176.0,12,639.150466
-120.0,12,640.178409
-100.0,12,641.292487
-78.0,12,642.103588
-188.0,12,642.397505
-204.0,12,643.37389
-174.0,12,643.384753
-178.0,12,644.06866
-142.0,12,644.298607
-204.0,12,644.903629
-170.0,12,645.563809
-152.0,12,646.232424
-40.0,12,646.710143
-172.0,12,647.354285
-94.0,12,647.693574
-178.0,12,648.400584
-198.0,12,648.664018
-100.0,12,649.280094
-94.0,12,649.843055
-86.0,12,650.530115
-152.0,12,651.288492
-138.0,12,651.898067
-62.0,12,652.555635
-164.0,12,653.342097
-132.0,12,654.418683
-204.0,12,655.082235
-78.0,12,655.755165
-166.0,12,656.924097
-240.0,12,657.662832
-8.0,12,657.678423
-240.0,12,658.686787
-148.0,12,659.437768
-36.0,12,659.49838
-172.0,12,659.553764
-38.0,12,660.651626
-158.0,12,660.885577
-190.0,12,661.708015
-54.0,12,662.048048
-54.0,12,662.869693
-188.0,12,662.884084
-98.0,12,663.675535
-100.0,12,664.489974
-228.0,12,665.212046
-114.0,12,666.508446
16.0,12,667.386208
-24.0,12,668.173901
-54.0,12,668.876028
-152.0,12,669.627636
-102.0,12,670.258183
-84.0,12,670.957887
-74.0,12,670.969875
-188.0,12,671.758183
-226.0,12,672.939405
-52.0,12,673.83834
-152.0,12,674.744397
-78.0,12,675.723899
-116.0,12,675.989925
-134.0,12,676.067241
-112.0,12,676.776278
-80.0,12,677.147491
38.0,12,677.475227
-132.0,12,678.273271
-18.0,12,678.532924
-72.0,12,678.887371
52.0,12,679.402152
-240.0,12,680.181174
-158.0,12,681.313242
-26.0,12,681.673319
-112.0,12,682.558235
-56.0,12,683.467353
16.0,12,684.422766
-132.0,12,685.398118
-18.0,12,685.701478
-184.0,12,686.161085
-240.0,12,686.403052
-130.0,12,686.769334
-184.0,12,687.415372
-112.0,12,688.199781
-114.0,12,688.776819
-88.0,12,689.60623
-188.0,12,690.373737
-56.0,12,690.385579
-180.0,12,691.042653
-110.0,12,691.824521
-202.0,12,692.607344
-22.0,12,693.106936
-128.0,12,694.142524
-168.0,12,694.862521
-240.0,12,695.075161
-148.0,12,696.21158
-222.0,12,696.635111
-188.0,12,696.77241
-170.0,12,697.678423
-104.0,12,698.492547
-218.0,12,699.587473
-184.0,12,700.197437
-208.0,12,701.120295
-128.0,12,701.989442
